consumer_id,age,gender,loyalty_status
60013773516,47,Female,1
59813803514,23,Female,2
59787863517,31,Male,0
59773453517,21,Female,0
59730883514,21,Female,1
59720363514,31,Female,2
59700183513,19,Female,1
59662023513,29,Female,3
59642533516,31,Male,2
59523113517,23,Male,2
59482393513,27,Female,1
59472493516,49,Female,0
59468393514,21,Female,0
59433713515,38,Female,2
59424663516,31,Male,0
59421143510,19,Female,2
59398933511,52,Male,1
59385683515,32,Female,1
59359563517,20,Female,0
59344473513,25,Female,2
5932658359,28,Female,2
59312243511,22,Female,2
59310713515,55,Female,0
59304183514,32,Female,3
5918416359,31,Male,1
59138793510,31,Male,3
59130223511,39,Male,3
59122163513,33,Female,0
59090873516,31,Male,1
5908622359,26,Female,0
59039623511,58,Male,2
5903238359,20,Female,1
5901852353,23,Female,1
58999823517,43,Female,0
5896714356,37,Female,1
58960113514,41,Female,1
58943833511,31,Male,0
5893430353,34,Male,0
5891948355,39,Female,1
58889623516,22,Female,1
5887187352,20,Female,0
5880461355,19,Female,1
5879205358,30,Female,0
58737153512,21,Female,0
5873371356,19,Female,2
5867837353,31,Male,0
5866304353,21,Male,0
58652393516,41,Female,1
58651473517,31,Male,0
58636003513,45,Male,1
58568793517,24,Female,0
5854738358,23,Female,1
58544003512,30,Female,1
5854066353,23,Female,0
58453613517,21,Female,0
5845354355,26,Female,0
58446783513,29,Female,0
5844036356,38,Female,1
58209793511,21,Female,0
58036683513,19,Female,1
5797585358,59,Female,3
57947063510,46,Female,2
5794003359,55,Female,1
57926413510,31,Male,4
57902273516,32,Male,2
57897573511,36,Male,2
57888283516,24,Female,1
57836013511,26,Male,0
5781638358,29,Female,0
57719813510,30,Female,4
57707863517,27,Female,1
5767274352,31,Male,1
57643583515,18,Female,2
5762514359,47,Female,2
57392333513,47,Female,2
5739141352,21,Female,1
57388853513,31,Male,1
57340853517,31,Male,1
57334913510,38,Female,0
5731008358,40,Female,0
5727117352,20,Female,0
57187333515,25,Female,1
57186963516,31,Male,0
57161733515,19,Female,0
5714988352,20,Female,1
5712977353,31,Male,0
5712939357,22,Female,2
5709359359,21,Female,0
5709199355,27,Female,1
57075773511,48,Female,0
5706211359,49,Female,0
57058253515,32,Female,1
57049033513,39,Male,0
5703821354,21,Female,3
5702619359,52,Male,2
5702350353,36,Female,2
5701155357,51,Female,0
5700851356,26,Female,0
5699995359,21,Female,2
5699353351,47,Male,1
5697717352,19,Female,1
5696956359,26,Female,0
5695720359,41,Female,2
5691807359,26,Female,0
5691616359,24,Female,0
56910673515,34,Female,0
56910503511,25,Female,1
56903503513,41,Female,0
5688982353,23,Female,0
56852573517,21,Female,2
5684915357,38,Female,0
5682812356,31,Male,1
5680962359,23,Female,0
56806963517,33,Female,1
5680382359,25,Female,0
5675340357,21,Female,1
5675333355,31,Male,1
5675111358,24,Female,0
56742753517,31,Male,0
56733773511,24,Female,0
5672981359,22,Female,0
5669844351,31,Male,1
5666386352,26,Female,2
56635453517,51,Female,0
5661015359,31,Male,0
5660803352,19,Female,2
5655267352,49,Female,1
56552363512,40,Male,0
5654093354,29,Female,1
5652280355,19,Female,0
5651801358,20,Male,0
5650576351,23,Female,0
5649914358,21,Male,1
5649396357,22,Female,0
5642069353,31,Female,0
56362803512,31,Male,1
56358253514,28,Female,1
5634934356,23,Female,2
56346823513,52,Female,0
5632497352,35,Female,1
5632312359,27,Female,0
5631230354,37,Female,2
5630486357,24,Female,2
56300043514,50,Female,0
56270283515,21,Female,0
