consumer_id,sales_amount_total
60013773516,473.6
59813803514,69.92
59787863517,59.4
59773453517,30.24
59730883514,12.96
59720363514,69.28
59700183513,33.47
59662023513,224.6
59642533516,82.3
59523113517,56.16
59482393513,133.38
59472493516,175.78
59468393514,132.16
59433713515,190.08
59424663516,74.58
59421143510,36.72
59398933511,25.96
59385683515,108.51
59359563517,12.96
59344473513,27.24
5932658359,88
59312243511,172.22
59310713515,224.42
59304183514,86.4
5918416359,144.04
59138793510,490.32
59130223511,259.2
59122163513,192.24
59090873516,199.8
5908622359,108
59039623511,79.92
5903238359,191.92
5901852353,85.3
58999823517,105.28
5896714356,97.2
58960113514,34.47
58943833511,167.8
5893430353,27.4
5891948355,9.28
58889623516,164.56
5887187352,34
5880461355,6.48
5879205358,54
58737153512,69.12
5873371356,74.92
5867837353,262.44
5866304353,119.6
58652393516,156.6
58651473517,171.96
58636003513,80
58568793517,58.41
5854738358,189
58544003512,10.8
5854066353,50.48
58453613517,51.84
5845354355,88.56
58446783513,76.78
5844036356,53.91
58209793511,61.96
58036683513,57.3
5797585358,62.1
57947063510,52.92
5794003359,380.55
57926413510,21.6
57902273516,8.46
57897573511,64.8
57888283516,112.32
57836013511,311.04
5781638358,11.43
57719813510,939.62
57707863517,46.14
5767274352,53.69
57643583515,96.22
5762514359,109.24
57392333513,450.77
5739141352,33.24
57388853513,52.92
57340853517,91.14
57334913510,263.52
5731008358,181.44
5727117352,12.96
57187333515,82.53
57186963516,149.31
57161733515,32.8
5714988352,72.48
5712977353,68
5712939357,55.7
5709359359,17.39
5709199355,18.36
57075773511,49.68
5706211359,164.16
57058253515,129.6
57049033513,97.2
5703821354,80.89
5702619359,32.4
5702350353,57.64
5701155357,9.74
5700851356,19.44
5699995359,46.84
5699353351,287.28
5697717352,119.54
5696956359,7.12
5695720359,208.98
5691807359,12.96
5691616359,74.52
56910673515,28.76
56910503511,66.92
56903503513,129.6
5688982353,128.64
56852573517,85.52
5684915357,245.6
5682812356,83.8
5680962359,145.8
56806963517,58.88
5680382359,48.6
5675340357,208.3
5675333355,129.6
5675111358,84.75
56742753517,155.72
56733773511,146.88
5672981359,151.2
5669844351,62.7
5666386352,16.2
56635453517,37.8
5661015359,43.2
5660803352,58.32
5655267352,116.94
56552363512,2.52
5654093354,113.92
5652280355,67.57
5651801358,152
5650576351,69.88
5649914358,92.88
5649396357,168.6
5642069353,140.4
56362803512,342.36
56358253514,162.8
5634934356,63
56346823513,85.72
5632497352,103.68
5632312359,41.04
5631230354,114.91
5630486357,170.36
56300043514,20.52
56270283515,21.32
56266943513,48.6
5625444359,12.96
5623433357,12.96
56191603513,214.16
5616992353,103.8
56150253514,14.04
5610044352,165.24
56076863513,330.6
5606511355,21.6
5605026352,17.28
56019503513,14.68
5601523354,113.8
5600182351,114.52
55999743515,16.2
55986253516,70.6
55952803515,54.4
55947403513,23.7
5592173352,42.12
